Model,MAE,RMSE,R2
LinearRegression,1.7280696985738215,3.194262986077068,0.8243580702391574
RandomForest,1.547023708696892,2.9796552608518847,0.8471663792093701
XGBoost,1.4453837050405733,2.886792425074896,0.8565442448411896
